Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Task,MK-14,10139,Egységtesztelés,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,High,To Do,,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,
Task,MK-13,10138,Projektek adatainak betöltése API-val,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,High,To Do,,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,
Story,MK-12,10127,Backend API létrehozása,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,High,To Do,,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,
Task,MK-11,10148,Kapcsolat form visszajelzés,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Medium,Review,,07/Nov/24 2:34 AM,07/Nov/24 2:45 AM,
Task,MK-10,10126,Kapcsolat form backend integráció,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,High,To Do,,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,
Task,MK-9,10125,Kapcsolat form validáció,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,High,To Do,,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,
Task,MK-8,10119,Kapcsolat oldal form,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,High,To Do,,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,
Task,MK-7,10137,Portfólió oldal linkek,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Medium,To Do,,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,
Task,MK-6,10136,Projektek részletező oldal,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,High,To Do,,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,
Story,MK-5,10135,Portfólió projektek megjelenítése,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,High,To Do,,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,
Task,MK-4,10118,Főoldal linkek és gombok,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Medium,To Do,,07/Nov/24 2:34 AM,07/Nov/24 2:34 AM,
Task,MK-3,10134,Főoldal hero szekció,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Medium,In Progress,,07/Nov/24 2:34 AM,07/Nov/24 2:44 AM,
Task,MK-2,10124,Alapvető navigációs menü,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,High,Done,Done,07/Nov/24 2:34 AM,07/Nov/24 2:44 AM,
Task,MK-1,10147,Projekt struktúra létrehozása,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,Akos Novak,70121:74d9747d-3279-4523-b47d-da9a21ee9968,High,Done,Done,07/Nov/24 2:34 AM,07/Nov/24 2:44 AM,
